year,college,branch,category,round,closing_rank,website
2021,Vemana Institute of Technology,CSE,2A,2,86760,https://vemanait.edu.in/
2021,East Point College of Engineering,ISE,2A,1,65088,https://epce.edu.in/
2023,RNSIT,CSE,3A,3,31286,https://rnsit.ac.in/
2022,BIT Bangalore,EEE,1,1,22282,https://bit-bangalore.edu.in/
2023,UVCE,CSE,2A,1,12087,https://uvce.ac.in/
2021,KSSEM Bangalore,ISE,3B,1,85326,https://kssem.edu.in/
2023,Oxford College of Engineering,ECE,2A,2,64089,https://oxford.edu.in/
2021,PESIT South,CSE,SC,3,61613,https://pes.edu/
2024,JSS Science & Technology,EEE,GM,2,116419,https://jssstuniv.in/
2024,Siddaganga Institute,MECH,1,2,20938,https://sit.ac.in/
2022,Sri Siddhartha Institute,CSE,2A,2,87153,https://ssit.edu.in/
2022,BNMIT,ECE,3B,1,40057,https://bnmit.org/
2023,Bangalore Institute of Technology North Campus,ECE,SC,3,169715,https://bit.edu.in/
2022,Vemana Institute of Technology,ECE,1,3,103610,https://vemanait.edu.in/
2023,Sri Siddhartha Institute,EEE,3B,1,111889,https://ssit.edu.in/
2023,Adichunchanagiri Institute,CSE,ST,2,132932,https://acoe.edu.in/
2024,PES University,CSE,1,3,2753,https://pes.edu/
2023,AMC Engineering College,EEE,3A,3,137510,https://amc.edu.in/
2024,Sapthagiri College of Engineering,ECE,SC,1,83175,https://sapthagiri.edu.in/
2022,Sri Venkateshwara College of Engineering,EEE,1,1,85754,https://svce.edu.in/
2023,MIT Manipal,MECH,SC,1,14971,https://manipal.edu/
2024,MIT Manipal,ISE,ST,3,15374,https://manipal.edu/
2022,BMSCE,EEE,2B,1,5898,https://www.bmsce.ac.in/
2023,KSSEM Bangalore,ECE,3A,1,87673,https://kssem.edu.in/
2023,Adichunchanagiri Institute,CSE,ST,3,128627,https://acoe.edu.in/
2022,BNMIT,EEE,1,1,34728,https://bnmit.org/
2023,Vidya Vikas Institute,ECE,2A,1,70344,https://vvit.ac.in/
2024,PESIT RR,ECE,1,1,30201,https://pes.edu/
2024,JSS Science & Technology,CSE,2B,2,115864,https://jssstuniv.in/
2023,Vidyavardhaka College,ISE,ST,1,100135,https://vvc.ac.in/
2022,Sri Siddhartha Institute,EEE,2A,2,95529,https://ssit.edu.in/
2024,RVCE,CSE,1,3,566,https://www.rvce.edu.in
2021,PES University,ECE,3B,3,3672,https://pes.edu/
2022,Sapthagiri College of Engineering,ECE,2A,2,69528,https://sapthagiri.edu.in/
2023,MS Engineering College,ISE,SC,2,133820,https://msengineering.edu.in/
2024,Presidency University,EEE,ST,3,132715,https://presidencyuniversity.in/
2021,Presidency University,MECH,2A,1,87864,https://presidencyuniversity.in/
2022,MS Engineering College,ECE,2B,1,106447,https://msengineering.edu.in/
2024,MIT Manipal,EEE,GM,3,10448,https://manipal.edu/
2024,Sri Siddhartha Institute,EEE,2A,1,90047,https://ssit.edu.in/
2021,BMSIT Bangalore,EEE,ST,3,45673,https://bmsit.ac.in/
2024,Vemana Institute of Technology,EEE,SC,2,148624,https://vemanait.edu.in/
2024,JSS Science & Technology,MECH,SC,2,176593,https://jssstuniv.in/
2023,T John Institute of Technology,ECE,GM,3,114706,https://tjohncollege.edu.in/
2024,Sir MVIT,MECH,ST,2,68780,https://sir-mvit.ac.in/
2023,JSSATE Bangalore,EEE,GM,3,37897,https://jssateb.ac.in/
2024,BMSCE,MECH,GM,3,6029,https://www.bmsce.ac.in/
2024,Canara Engineering College,CSE,ST,1,92444,https://canaraengineering.in/
2022,MIT Manipal,ECE,1,3,10280,https://manipal.edu/
2021,CMR University School of Engineering,CSE,2A,2,81834,https://cmr.edu.in/
2022,KSIT,CSE,3B,2,65042,https://ksit.edu.in/
2023,PESIT South,ECE,3A,1,49288,https://pes.edu/
2022,Sapthagiri College of Engineering,ECE,GM,2,62610,https://sapthagiri.edu.in/
2023,CMR University School of Engineering,EEE,2B,2,100303,https://cmr.edu.in/
2022,BNMIT,MECH,3A,3,45489,https://bnmit.org/
2024,Sri Venkateshwara College of Engineering,ISE,GM,3,82057,https://svce.edu.in/
2023,DSCE,CSE,GM,1,19627,https://www.dsce.edu.in/
2022,KSSEM Bangalore,ECE,SC,1,109004,https://kssem.edu.in/
2022,SJCE Mysore,ISE,2A,1,14765,https://sjce.ac.in/
2022,RNSIT,ECE,3A,1,33268,https://rnsit.ac.in/
2023,PESIT South,ISE,3A,2,47906,https://pes.edu/
2023,Sir MVIT,ISE,3B,2,46535,https://sir-mvit.ac.in/
2021,KSIT,EEE,GM,1,54118,https://ksit.edu.in/
2023,Don Bosco Institute of Technology,MECH,ST,2,182513,https://dbit.ac.in/
2024,JSSATE Bangalore,EEE,3B,1,43110,https://jssateb.ac.in/
2022,NIE Mysore,EEE,3A,2,20291,https://nie.ac.in/
2022,Sapthagiri College of Engineering,MECH,3B,3,88544,https://sapthagiri.edu.in/
2023,MIT Manipal,ISE,2B,2,10529,https://manipal.edu/
2021,PESIT South,ISE,ST,1,60104,https://pes.edu/
2024,CMRIT,EEE,2A,1,51294,https://cmrit.ac.in/
2023,Sri Venkateshwara College of Engineering,EEE,2B,2,99395,https://svce.edu.in/
2024,AMC Engineering College,EEE,SC,3,182617,https://amc.edu.in/
2023,Reva University,ISE,3B,3,64809,https://reva.edu.in/
2021,CMRIT,ECE,2A,3,56024,https://cmrit.ac.in/
2022,KSIT,ECE,3B,1,67112,https://ksit.edu.in/
2022,Adichunchanagiri Institute,EEE,2B,3,106289,https://acoe.edu.in/
2022,PES University,MECH,GM,1,3139,https://pes.edu/
2024,Canara Engineering College,ECE,2B,3,75835,https://canaraengineering.in/
2024,Sir MVIT,CSE,2A,2,37941,https://sir-mvit.ac.in/
2022,Don Bosco Institute of Technology,ECE,GM,3,100369,https://dbit.ac.in/
2024,Bangalore Institute of Technology North Campus,MECH,SC,1,166112,https://bit.edu.in/
2022,PESIT RR,ISE,2B,3,35964,https://pes.edu/
2021,MVJ College of Engineering,ISE,2A,3,52335,https://mvjce.edu.in/
2022,BIT Bangalore,CSE,3B,1,23499,https://bit-bangalore.edu.in/
2022,KLE Tech Hubli,CSE,2B,3,57320,https://kletech.ac.in/
2024,RNSIT,ISE,SC,1,39194,https://rnsit.ac.in/
2021,PESIT RR,MECH,2B,1,35059,https://pes.edu/
2024,UVCE,MECH,1,2,14511,https://uvce.ac.in/
2021,Global Academy of Technology,MECH,ST,1,123924,https://gat.ac.in/
2024,Canara Engineering College,CSE,1,1,59924,https://canaraengineering.in/
2021,MVJ College of Engineering,ECE,3A,3,64294,https://mvjce.edu.in/
2021,SJCE Mysore,EEE,2B,2,16798,https://sjce.ac.in/
2022,East Point College of Engineering,ECE,2B,3,72692,https://epce.edu.in/
2024,Alliance University,CSE,2A,1,71838,https://alliance.edu.in/
2022,Oxford College of Engineering,ISE,3A,1,66481,https://oxford.edu.in/
2023,PESIT South,ISE,2B,1,42119,https://pes.edu/
2023,Vemana Institute of Technology,ECE,3B,1,113175,https://vemanait.edu.in/
2022,CMR University School of Engineering,EEE,2B,2,103320,https://cmr.edu.in/
2024,BNMIT,ECE,SC,1,45618,https://bnmit.org/
2022,New Horizon College of Engineering,ISE,SC,2,56175,https://newhorizon.edu.in/
2023,Vemana Institute of Technology,ISE,1,2,90867,https://vemanait.edu.in/
2024,Sapthagiri College of Engineering,EEE,3B,3,78940,https://sapthagiri.edu.in/
2021,JSSATE Bangalore,CSE,2B,3,40052,https://jssateb.ac.in/
2023,East Point College of Engineering,ISE,SC,3,98759,https://epce.edu.in/
2021,Vidyavardhaka College,ISE,ST,3,112727,https://vvc.ac.in/
2022,Alliance University,CSE,ST,3,119260,https://alliance.edu.in/
2023,KSSEM Bangalore,MECH,SC,3,129596,https://kssem.edu.in/
2021,Sri Venkateshwara College of Engineering,EEE,ST,3,148655,https://svce.edu.in/
2021,UVCE,CSE,GM,3,11991,https://uvce.ac.in/
2023,Oxford College of Engineering,MECH,GM,2,65734,https://oxford.edu.in/
2024,Reva University,MECH,1,1,58064,https://reva.edu.in/
2023,PES University,EEE,3B,2,3723,https://pes.edu/
2021,Vidya Jyothi Institute,CSE,GM,1,87610,https://vji.ac.in/
2022,Sri Siddhartha Institute,ISE,3B,2,104578,https://ssit.edu.in/
2023,KSIT,EEE,ST,1,87017,https://ksit.edu.in/
2021,East Point College of Engineering,ISE,2B,3,75468,https://epce.edu.in/
2022,Adichunchanagiri Institute,EEE,3A,2,113436,https://acoe.edu.in/
2021,BNMIT,EEE,2A,3,40916,https://bnmit.org/
2024,Vemana Institute of Technology,ISE,1,1,89432,https://vemanait.edu.in/
2023,East Point College of Engineering,ECE,2A,1,66988,https://epce.edu.in/
2022,Don Bosco Institute of Technology,MECH,GM,2,107494,https://dbit.ac.in/
2023,BNMIT,ISE,3A,1,36552,https://bnmit.org/
2023,Sapthagiri College of Engineering,MECH,SC,1,96701,https://sapthagiri.edu.in/
2023,Global Academy of Technology,MECH,2A,2,85510,https://gat.ac.in/
2024,PESIT RR,ISE,3B,2,37159,https://pes.edu/
2023,BNMIT,ECE,2B,3,38128,https://bnmit.org/
2024,New Horizon College of Engineering,CSE,1,2,38564,https://newhorizon.edu.in/
2021,RVCE,ISE,SC,2,855,https://www.rvce.edu.in
2024,SJCE Mysore,CSE,3B,3,16532,https://sjce.ac.in/
2021,MS Engineering College,ECE,GM,2,99156,https://msengineering.edu.in/
2024,T John Institute of Technology,ISE,1,3,110393,https://tjohncollege.edu.in/
2024,New Horizon College of Engineering,EEE,3B,2,54061,https://newhorizon.edu.in/
2023,T John Institute of Technology,CSE,SC,3,146304,https://tjohncollege.edu.in/
2023,PESIT South,CSE,3B,1,44348,https://pes.edu/
2023,Sir MVIT,ISE,2A,1,36575,https://sir-mvit.ac.in/
2024,KSIT,EEE,2B,3,68551,https://ksit.edu.in/
2024,UVCE,MECH,SC,3,20984,https://uvce.ac.in/
2021,NIE Mysore,ISE,2B,2,19225,https://nie.ac.in/
2022,Siddaganga Institute,ISE,3A,2,20822,https://sit.ac.in/
2023,Acharya Institute of Technology,ECE,3A,2,52849,https://acharya.ac.in/
2024,Dayananda Sagar Academy,EEE,ST,1,169287,https://dsacademy.edu.in/
2021,PESIT RR,ECE,SC,1,41951,https://pes.edu/
2023,KLE Tech Hubli,ISE,SC,2,74282,https://kletech.ac.in/
2023,MSRIT,ISE,3B,2,9020,https://www.msrit.edu/
2023,SJCE Mysore,EEE,3A,2,18226,https://sjce.ac.in/
2021,Acharya Institute of Technology,CSE,GM,1,37170,https://acharya.ac.in/
2022,Vidya Vikas Institute,EEE,2B,3,88984,https://vvit.ac.in/
2023,New Horizon College of Engineering,CSE,3B,2,46435,https://newhorizon.edu.in/
2021,Siddaganga Institute,CSE,SC,2,25336,https://sit.ac.in/
2024,DSCE,ECE,ST,2,37641,https://www.dsce.edu.in/
2021,Global Academy of Technology,MECH,1,1,80596,https://gat.ac.in/
2024,Dayananda Sagar Academy,CSE,3B,1,112858,https://dsacademy.edu.in/
2024,MVJ College of Engineering,ECE,3A,2,56807,https://mvjce.edu.in/
2023,KSSEM Bangalore,MECH,1,2,84201,https://kssem.edu.in/
2021,BIT Bangalore,MECH,1,1,23790,https://bit-bangalore.edu.in/
2021,Siddaganga Institute,ECE,2B,2,22151,https://sit.ac.in/
2021,KSIT,EEE,1,1,55679,https://ksit.edu.in/
2024,DSCE,ECE,3B,3,30341,https://www.dsce.edu.in/
2024,AIT Chikmagalur,CSE,SC,3,127299,https://aitchikmagalur.edu.in/
2023,Bangalore Institute of Technology North Campus,ECE,3B,1,134207,https://bit.edu.in/
2024,Vidyavardhaka College,ECE,2B,2,79194,https://vvc.ac.in/
2021,CMRIT,CSE,GM,1,40302,https://cmrit.ac.in/
2022,Siddaganga Institute,MECH,2B,1,22140,https://sit.ac.in/
2021,Adichunchanagiri Institute,EEE,3A,3,119628,https://acoe.edu.in/
2021,RVCE,MECH,1,2,694,https://www.rvce.edu.in
2024,PES University,ISE,SC,2,3956,https://pes.edu/
2024,SJCE Mysore,CSE,GM,2,13247,https://sjce.ac.in/
2023,JSS Science & Technology,MECH,3A,1,139271,https://jssstuniv.in/
2023,Sapthagiri College of Engineering,ECE,2A,2,64342,https://sapthagiri.edu.in/
2024,MS Engineering College,ECE,2B,2,111336,https://msengineering.edu.in/
2021,T John Institute of Technology,ISE,GM,2,100237,https://tjohncollege.edu.in/
2021,NIE Mysore,MECH,3A,2,21896,https://nie.ac.in/
2024,DSCE,ISE,ST,1,35504,https://www.dsce.edu.in/
2022,Dayananda Sagar Academy,CSE,ST,3,153290,https://dsacademy.edu.in/
2023,Global Academy of Technology,EEE,1,3,82346,https://gat.ac.in/
2021,Bangalore Institute of Technology North Campus,ISE,2B,2,123221,https://bit.edu.in/
2024,New Horizon College of Engineering,MECH,1,3,47134,https://newhorizon.edu.in/
2023,Acharya Institute of Technology,ECE,2A,2,51347,https://acharya.ac.in/
2022,CMR University School of Engineering,ECE,2B,3,101449,https://cmr.edu.in/
2023,RVCE,CSE,2B,2,615,https://www.rvce.edu.in
2021,AMC Engineering College,EEE,3A,1,124477,https://amc.edu.in/
2024,CMR University School of Engineering,EEE,3A,1,103444,https://cmr.edu.in/
2022,AMC Engineering College,CSE,SC,2,147920,https://amc.edu.in/
2024,BIT Bangalore,ECE,GM,3,23414,https://bit-bangalore.edu.in/
2021,BMSCE,EEE,2B,1,6215,https://www.bmsce.ac.in/
2021,BMSIT Bangalore,CSE,3A,3,29968,https://bmsit.ac.in/
2024,Sir MVIT,MECH,3A,2,50163,https://sir-mvit.ac.in/
2022,Acharya Institute of Technology,ECE,2B,1,48777,https://acharya.ac.in/
2023,Sri Siddhartha Institute,ECE,2A,2,98860,https://ssit.edu.in/
2024,JSSATE Bangalore,EEE,2A,3,43448,https://jssateb.ac.in/
2023,Vidya Vikas Institute,CSE,2B,3,77560,https://vvit.ac.in/
2022,BMSIT Bangalore,ECE,2A,1,28486,https://bmsit.ac.in/
2024,Vidya Vikas Institute,EEE,2A,1,73156,https://vvit.ac.in/
2021,CMR University School of Engineering,ISE,3B,1,91073,https://cmr.edu.in/
2023,BMSCE,MECH,SC,3,8577,https://www.bmsce.ac.in/
2024,T John Institute of Technology,CSE,1,2,103760,https://tjohncollege.edu.in/
2021,NIE Mysore,MECH,3A,1,21888,https://nie.ac.in/
2023,PES University,ISE,SC,3,4163,https://pes.edu/
2024,NIE Mysore,CSE,SC,3,23448,https://nie.ac.in/
2024,KSSEM Bangalore,EEE,ST,2,130843,https://kssem.edu.in/
2023,Oxford College of Engineering,ISE,3A,3,72353,https://oxford.edu.in/
2021,Don Bosco Institute of Technology,ECE,SC,3,152699,https://dbit.ac.in/
2023,Reva University,ISE,SC,2,75693,https://reva.edu.in/
2024,MVJ College of Engineering,EEE,3B,2,65473,https://mvjce.edu.in/
2023,Vidya Jyothi Institute,CSE,3A,2,106868,https://vji.ac.in/
2024,Oxford College of Engineering,ECE,SC,2,89052,https://oxford.edu.in/
2022,Sri Venkateshwara College of Engineering,CSE,SC,2,112694,https://svce.edu.in/
2021,Sri Venkateshwara College of Engineering,ISE,1,1,78011,https://svce.edu.in/
2023,East Point College of Engineering,CSE,3A,1,68406,https://epce.edu.in/
2024,T John Institute of Technology,MECH,SC,3,185918,https://tjohncollege.edu.in/
2023,Presidency University,EEE,2A,1,80396,https://presidencyuniversity.in/
2023,Sri Siddhartha Institute,EEE,3A,3,114537,https://ssit.edu.in/
2023,Vidya Jyothi Institute,EEE,1,3,111404,https://vji.ac.in/
2024,RVCE,ECE,2B,3,717,https://www.rvce.edu.in
2022,MIT Manipal,ISE,2B,1,10349,https://manipal.edu/
2022,MS Engineering College,CSE,2B,3,100559,https://msengineering.edu.in/
2021,Vidya Jyothi Institute,EEE,2A,3,121755,https://vji.ac.in/
2023,KLE Tech Hubli,ECE,3B,2,67483,https://kletech.ac.in/
2022,Alliance University,ECE,ST,3,137318,https://alliance.edu.in/
2023,Vidyavardhaka College,CSE,1,2,67546,https://vvc.ac.in/
2021,Don Bosco Institute of Technology,EEE,2A,2,115847,https://dbit.ac.in/
2022,CMRIT,CSE,2B,1,47914,https://cmrit.ac.in/
2022,Global Academy of Technology,ECE,2A,3,80475,https://gat.ac.in/
2021,CMRIT,MECH,2A,3,60242,https://cmrit.ac.in/
2024,East Point College of Engineering,MECH,ST,2,111531,https://epce.edu.in/
2022,Sri Siddhartha Institute,ECE,1,1,87197,https://ssit.edu.in/
2022,T John Institute of Technology,EEE,3A,1,131075,https://tjohncollege.edu.in/
2022,RNSIT,ECE,ST,3,48821,https://rnsit.ac.in/
2022,Oxford College of Engineering,EEE,GM,3,61628,https://oxford.edu.in/
2023,Don Bosco Institute of Technology,MECH,SC,3,165728,https://dbit.ac.in/
2021,RVCE,MECH,3A,3,807,https://www.rvce.edu.in
2024,Vidyavardhaka College,ISE,2A,3,76855,https://vvc.ac.in/
2023,PES University,CSE,2A,3,2962,https://pes.edu/
2023,NIE Mysore,MECH,2B,2,20300,https://nie.ac.in/
2022,Vidya Jyothi Institute,ISE,GM,3,101280,https://vji.ac.in/
2024,Canara Engineering College,MECH,3A,2,81787,https://canaraengineering.in/
2023,MSRIT,ECE,GM,2,7224,https://www.msrit.edu/
2023,Adichunchanagiri Institute,ISE,3A,1,100664,https://acoe.edu.in/
2021,Presidency University,MECH,ST,1,123058,https://presidencyuniversity.in/
2023,Alliance University,CSE,1,2,75205,https://alliance.edu.in/
2023,KLE Tech Hubli,ECE,3B,3,73400,https://kletech.ac.in/
2022,MS Engineering College,MECH,ST,1,166293,https://msengineering.edu.in/
2022,UVCE,EEE,2A,3,14989,https://uvce.ac.in/
2024,BMSIT Bangalore,ISE,1,1,25218,https://bmsit.ac.in/
2023,KSIT,CSE,2A,3,60723,https://ksit.edu.in/
2024,Sapthagiri College of Engineering,EEE,3A,2,76802,https://sapthagiri.edu.in/
2022,MVJ College of Engineering,ISE,3A,2,55499,https://mvjce.edu.in/
2021,Vidya Jyothi Institute,CSE,ST,3,143165,https://vji.ac.in/
2022,Adichunchanagiri Institute,ISE,2A,1,86409,https://acoe.edu.in/
2023,Vemana Institute of Technology,ECE,1,2,98660,https://vemanait.edu.in/
2023,Siddaganga Institute,ECE,GM,3,19837,https://sit.ac.in/
2023,JSSATE Bangalore,ISE,2B,3,40285,https://jssateb.ac.in/
2021,RVCE,EEE,ST,3,962,https://www.rvce.edu.in
2023,Reva University,ECE,2B,2,59398,https://reva.edu.in/
2023,PES University,ISE,3B,1,3396,https://pes.edu/
2021,MVJ College of Engineering,EEE,SC,2,74015,https://mvjce.edu.in/
2022,Sri Venkateshwara College of Engineering,CSE,SC,1,106597,https://svce.edu.in/
2022,Vidya Jyothi Institute,EEE,SC,1,145462,https://vji.ac.in/
2022,MVJ College of Engineering,CSE,2B,3,54963,https://mvjce.edu.in/
2023,CMR University School of Engineering,ISE,GM,1,75086,https://cmr.edu.in/
2023,Sapthagiri College of Engineering,MECH,1,2,67771,https://sapthagiri.edu.in/
2024,RNSIT,ECE,GM,3,31069,https://rnsit.ac.in/
2022,Vidya Jyothi Institute,CSE,1,3,96647,https://vji.ac.in/
2023,Bangalore Institute of Technology North Campus,ISE,ST,2,158542,https://bit.edu.in/
2022,BMSCE,ECE,GM,3,5269,https://www.bmsce.ac.in/
2022,Vemana Institute of Technology,EEE,3B,3,127523,https://vemanait.edu.in/
2024,KLE Tech Hubli,ISE,3A,1,61156,https://kletech.ac.in/
2021,Bangalore Institute of Technology North Campus,ECE,3B,1,127843,https://bit.edu.in/
2024,Sir MVIT,ECE,ST,2,59779,https://sir-mvit.ac.in/
2024,MS Engineering College,EEE,GM,2,102017,https://msengineering.edu.in/
2022,MIT Manipal,MECH,GM,2,10744,https://manipal.edu/
2023,East Point College of Engineering,ECE,1,3,69045,https://epce.edu.in/
2024,KSSEM Bangalore,ECE,2B,2,86020,https://kssem.edu.in/
2023,Don Bosco Institute of Technology,ISE,1,1,93160,https://dbit.ac.in/
2022,NIE Mysore,CSE,ST,2,24414,https://nie.ac.in/
2024,Dayananda Sagar Academy,MECH,SC,3,177989,https://dsacademy.edu.in/
2022,KSIT,EEE,SC,2,84992,https://ksit.edu.in/
2023,BMSIT Bangalore,EEE,SC,1,39136,https://bmsit.ac.in/
2021,Vemana Institute of Technology,MECH,3B,1,114616,https://vemanait.edu.in/
2021,Sri Venkateshwara College of Engineering,CSE,GM,1,68593,https://svce.edu.in/
2024,Vidya Vikas Institute,MECH,2B,2,86393,https://vvit.ac.in/
2022,PESIT South,ISE,ST,1,59527,https://pes.edu/
2021,BMSCE,EEE,2A,2,6166,https://www.bmsce.ac.in/
2022,Vidyavardhaka College,EEE,GM,1,66935,https://vvc.ac.in/
2023,CMRIT,MECH,2B,3,60786,https://cmrit.ac.in/
2022,Vemana Institute of Technology,CSE,2A,2,90039,https://vemanait.edu.in/
2024,JSSATE Bangalore,ISE,1,1,34676,https://jssateb.ac.in/
2023,RVCE,ISE,GM,1,528,https://www.rvce.edu.in
2022,RVCE,ISE,2B,1,627,https://www.rvce.edu.in
2021,AMC Engineering College,EEE,ST,2,171170,https://amc.edu.in/
2023,KSIT,EEE,2A,3,65796,https://ksit.edu.in/
2021,T John Institute of Technology,EEE,ST,1,160530,https://tjohncollege.edu.in/
2022,Vidyavardhaka College,ECE,GM,1,63128,https://vvc.ac.in/
2024,RVCE,EEE,GM,3,624,https://www.rvce.edu.in
2021,BMSCE,EEE,SC,1,7729,https://www.bmsce.ac.in/
2022,Alliance University,CSE,SC,1,100512,https://alliance.edu.in/
2022,Sapthagiri College of Engineering,CSE,1,2,59391,https://sapthagiri.edu.in/
2022,Sri Venkateshwara College of Engineering,EEE,SC,1,126194,https://svce.edu.in/
2021,Oxford College of Engineering,MECH,SC,3,100035,https://oxford.edu.in/
2023,DSCE,ISE,1,2,24913,https://www.dsce.edu.in/
2021,East Point College of Engineering,EEE,SC,2,97527,https://epce.edu.in/
2021,UVCE,CSE,3A,2,13401,https://uvce.ac.in/
2024,Bangalore Institute of Technology North Campus,ECE,3B,1,124071,https://bit.edu.in/
2022,BNMIT,CSE,SC,2,45080,https://bnmit.org/
2021,SJCE Mysore,CSE,GM,3,14002,https://sjce.ac.in/
2023,BMSIT Bangalore,EEE,3A,3,34746,https://bmsit.ac.in/
2021,JSS Science & Technology,ISE,ST,2,163386,https://jssstuniv.in/
2022,BMSCE,ISE,3A,3,6145,https://www.bmsce.ac.in/
2024,MS Engineering College,EEE,1,2,107281,https://msengineering.edu.in/
2024,PESIT South,ECE,1,3,47978,https://pes.edu/
2022,Don Bosco Institute of Technology,CSE,GM,2,88897,https://dbit.ac.in/
2023,Alliance University,CSE,GM,1,66169,https://alliance.edu.in/
2023,Siddaganga Institute,ISE,ST,3,31714,https://sit.ac.in/
2022,CMR University School of Engineering,MECH,2A,1,98157,https://cmr.edu.in/
2023,CMR University School of Engineering,ISE,ST,2,129450,https://cmr.edu.in/
2024,MIT Manipal,CSE,2B,2,10165,https://manipal.edu/
2024,DSCE,CSE,3A,2,24707,https://www.dsce.edu.in/
2024,Canara Engineering College,ECE,1,1,62352,https://canaraengineering.in/
2022,PESIT RR,ECE,2A,3,36444,https://pes.edu/
2021,PESIT South,MECH,1,1,44326,https://pes.edu/
2021,Canara Engineering College,MECH,2A,3,80170,https://canaraengineering.in/
2023,MS Engineering College,ECE,3A,1,108972,https://msengineering.edu.in/
2022,Siddaganga Institute,ECE,3A,1,21220,https://sit.ac.in/
2022,Bangalore Institute of Technology North Campus,ISE,SC,1,149320,https://bit.edu.in/
2022,Presidency University,EEE,3A,2,99257,https://presidencyuniversity.in/
2022,Sir MVIT,EEE,GM,3,41049,https://sir-mvit.ac.in/
2022,BMSCE,CSE,1,3,5424,https://www.bmsce.ac.in/
2024,KSIT,EEE,3A,2,70821,https://ksit.edu.in/
2021,DSCE,EEE,2A,1,25802,https://www.dsce.edu.in/
2024,Vidya Jyothi Institute,ISE,2A,3,111092,https://vji.ac.in/
2023,PESIT South,ISE,3B,1,48039,https://pes.edu/
2023,Sir MVIT,ECE,3A,1,41654,https://sir-mvit.ac.in/
2023,Adichunchanagiri Institute,MECH,GM,1,88406,https://acoe.edu.in/
2022,CMR University School of Engineering,CSE,3B,2,94174,https://cmr.edu.in/
2022,Dayananda Sagar Academy,ECE,GM,3,108750,https://dsacademy.edu.in/
2022,MS Engineering College,EEE,3A,1,117188,https://msengineering.edu.in/
2022,PES University,ECE,2B,1,3007,https://pes.edu/
2024,Vidya Vikas Institute,ISE,2B,2,78761,https://vvit.ac.in/
2023,MS Engineering College,ISE,2A,2,102672,https://msengineering.edu.in/
2022,BIT Bangalore,ECE,2B,2,25311,https://bit-bangalore.edu.in/
2021,Bangalore Institute of Technology North Campus,ECE,GM,1,107150,https://bit.edu.in/
2022,Sri Venkateshwara College of Engineering,MECH,2A,3,106183,https://svce.edu.in/
2023,UVCE,CSE,2A,3,13054,https://uvce.ac.in/
2021,RVCE,ECE,1,1,552,https://www.rvce.edu.in
2022,MVJ College of Engineering,MECH,1,2,57764,https://mvjce.edu.in/
2022,MS Engineering College,ECE,2A,3,107638,https://msengineering.edu.in/
2021,RVCE,EEE,SC,3,933,https://www.rvce.edu.in
2022,Acharya Institute of Technology,ECE,2B,2,52437,https://acharya.ac.in/
2022,Presidency University,EEE,2B,3,99354,https://presidencyuniversity.in/
2024,RNSIT,EEE,SC,2,45950,https://rnsit.ac.in/
2021,CMR University School of Engineering,CSE,2B,1,84146,https://cmr.edu.in/
2023,PES University,ISE,GM,1,2732,https://pes.edu/
2023,Sri Siddhartha Institute,MECH,GM,2,96631,https://ssit.edu.in/
2024,AMC Engineering College,ECE,1,3,113421,https://amc.edu.in/
2022,Adichunchanagiri Institute,MECH,GM,2,97099,https://acoe.edu.in/
2022,Dayananda Sagar Academy,MECH,ST,1,176185,https://dsacademy.edu.in/
2022,Adichunchanagiri Institute,ECE,ST,2,148063,https://acoe.edu.in/
2022,PESIT RR,CSE,1,2,29841,https://pes.edu/
2023,Dayananda Sagar Academy,ISE,2B,2,109484,https://dsacademy.edu.in/
2024,Sri Venkateshwara College of Engineering,ISE,GM,2,78142,https://svce.edu.in/
2022,Reva University,ISE,2B,2,54233,https://reva.edu.in/
2023,Sir MVIT,MECH,3B,2,52325,https://sir-mvit.ac.in/
2023,Siddaganga Institute,EEE,SC,1,28612,https://sit.ac.in/
2023,Dayananda Sagar Academy,MECH,3A,3,139821,https://dsacademy.edu.in/
2024,Oxford College of Engineering,MECH,SC,3,101463,https://oxford.edu.in/
2021,Dayananda Sagar Academy,ECE,3A,1,117250,https://dsacademy.edu.in/
2022,JSS Science & Technology,CSE,SC,2,151340,https://jssstuniv.in/
2023,RNSIT,ECE,2B,1,31278,https://rnsit.ac.in/
2023,KSSEM Bangalore,CSE,3B,1,79536,https://kssem.edu.in/
2022,Sir MVIT,CSE,ST,2,56342,https://sir-mvit.ac.in/
2023,CMRIT,CSE,3B,2,53606,https://cmrit.ac.in/
2022,East Point College of Engineering,ISE,ST,3,105212,https://epce.edu.in/
2022,New Horizon College of Engineering,ECE,1,1,38128,https://newhorizon.edu.in/
2023,Oxford College of Engineering,EEE,GM,3,65848,https://oxford.edu.in/
2022,Vidya Jyothi Institute,ECE,SC,1,139007,https://vji.ac.in/
2021,KSSEM Bangalore,ISE,1,3,79315,https://kssem.edu.in/
2023,SJCE Mysore,CSE,1,2,14238,https://sjce.ac.in/
2023,Siddaganga Institute,EEE,1,1,20906,https://sit.ac.in/
2024,Adichunchanagiri Institute,CSE,3B,3,110133,https://acoe.edu.in/
2024,Reva University,EEE,2B,2,62734,https://reva.edu.in/
2023,BIT Bangalore,MECH,SC,3,37938,https://bit-bangalore.edu.in/
